稚内市,https://www.city.wakkanai.hokkaido.jp/sangyo/shoko/shien/safe_hosyoseido4.html,新型コロナウイルス感染症に関する中小企業・労働者向け支援について／稚内市,
厚生労働省,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/kyufukin/pageL07_00002.html,新型コロナ休暇支援｜厚生労働省,
大分県,https://www.pref.oita.jp/soshiki/14040/sodanmadoguti1.html,新型コロナウイルスの流行に伴う経営・金融相談窓口の開設について,
沖縄県,https://www.pref.okinawa.jp/site/shoko/keiei/kinyu/safety4.html,中小企業信用保険法第２条第５項第４号（セーフティネット保証４号）の規定に基づく指定について／沖縄県,
東京都,https://www.metro.tokyo.lg.jp/tosei/hodohappyo/press/2020/03/16/12.html,中小企業従業員向けの生活資金融資を実施（第89報）｜東京都,
山口県,https://www.pref.yamaguchi.lg.jp/cms/a16300/kinyuu/202002210001_sp.html,山口県/経営金融課/金融支援班・新型コロナウイルス感染症対策(金融支援),
今帰仁村,https://www.nakijin.jp/pagtop/topics/1661.html,新型コロナウィルス感染症防止のための臨時休業期間について（4月15日更新）／今帰仁村,
滋賀県,https://www.pref.shiga.lg.jp/ippan/shigotosangyou/shigoto/310828.html,新型コロナウイルス感染症の影響により雇用に影響を受けている事業者の皆様へ｜滋賀県ホームページ,
蒲郡市,https://www.city.gamagori.lg.jp/unit/kankoshoko/corona-hojyokin.html,【新型コロナウイルス感染症対策】中小企業者向け信用保証料補助・利子補給制度のご紹介（補助対象融資を追加しました）,
吹田市,https://www.city.suita.osaka.jp/home/soshiki/div-toshimiryoku/chiikikeizai/soudann.html,吹田市｜【事業所の皆様へ】新型コロナウイルス感染症に関する情報（相談窓口の設置、緊急資金の創設等）について,
平塚市,http://www.city.hiratsuka.kanagawa.jp/kenko/page99_00038.html,新型コロナウイルス感染症に関するその他の関連情報,
新見市,https://www.city.niimi.okayama.jp/important/important_detail/index/292.html,新型コロナウイルス感染症の影響により納税が困難な方へ徴収の猶予制度があります,
札幌市,https://www.city.sapporo.jp/kinkyu/seikatsushien/202003/index.html,生活支援ガイド／札幌市,
愛川町,https://www.town.aikawa.kanagawa.jp/shisetsu/corona/1585128531849.html,スポーツ施設の休館および学校施設開放の休止について／愛川町ホームページ,
高野町,https://www.town.koya.wakayama.jp/kurashi/korona/12483.html,高野町,
大井町,https://www.town.oi.kanagawa.jp/soshiki/17/corona-kyuuhu.html,新型コロナウイルス感染症関係の給付金などの詳細は未定です,
府中市,https://www.city.fuchu.tokyo.jp/kyoiku/gako/kyushoku/20200403.html,新型コロナウイルス感染症に伴う臨時休校にかかる学校給食費（4月分）の取扱いについて　東京都府中市ホームページ,
福島県,http://www.pref.fukushima.lg.jp/sec/21025a/kinkyukoguchishikintou.html,新型コロナウイルス感染症の影響による休業等に関する生活福祉資金（緊急小口資金等）特例貸付について,
神奈川県,https://www.pref.kanagawa.jp/docs/m6c/prs/r4725790.html,新型コロナウイルス感染症により事業活動に影響を受けている中小企業者の皆さまへの支援を拡大します！,
厚生労働省,https://www.mhlw.go.jp/stf/newpage_10605.html,新型コロナウイルス感染症による小学校休業等対応助成金・支援金の延長について,
船橋市,https://www.city.funabashi.lg.jp/jigyou/shoukou/002/corona-jigyosha.html,新型コロナウィルス感染症に関する中小企業者（農林漁業者を含む）・労働者への支援｜船橋市公式ホームページ,
青梅市,https://www.city.ome.tokyo.jp/soshiki/23/19405.html,新型コロナウイルス感染症の影響により廃棄物処理手数料の納付が困難な事業主の方へ,
中間市,https://www.city.nakama.lg.jp/sangyo/shokogyo/corona_tyusyoushien.html,,
福岡県,https://www.pref.fukuoka.lg.jp/contents/200311shiensaku.html,新型コロナウイルスに関する農林漁業者の相談窓口の開設と支援制度について,
和歌山県,https://www.pref.wakayama.lg.jp/prefg/060300/gyoumu/kinyuu/sangyoushien.html,和歌山県中小企業融資制度のご案内,
神奈川県,https://www.pref.kanagawa.jp/docs/m6c/prs/r3217920.html,新型コロナウイルスの流行により事業活動に影響を受けている中小企業の皆さまに金融支援を実施します,
川西市,https://www.city.kawanishi.hyogo.jp/kurashi/kodomo/1010345/index.html,新型コロナウイルス感染症拡大に伴う市立保育所・認定こども園での保育料・育児休業からの復職などの取扱いについて｜川西市,
